sample,q1,q2,q3,q4,q5,all
random_0,0.290322581,0.333333333,0.161290323,0.366666667,0.580645161,0.346405229
random_1,0.322580645,0.266666667,0.35483871,0.266666667,0.612903226,0.366013072
random_2,0.258064516,0.3,0.322580645,0.266666667,0.516129032,0.333333333
random_3,0.258064516,0.133333333,0.161290323,0.266666667,0.612903226,0.287581699
random_4,0.193548387,0.266666667,0.258064516,0.466666667,0.516129032,0.339869281
random_5,0.322580645,0.333333333,0.322580645,0.366666667,0.516129032,0.37254902
random_6,0.193548387,0.266666667,0.161290323,0.166666667,0.677419355,0.294117647
random_7,0.35483871,0.166666667,0.322580645,0.233333333,0.516129032,0.320261438
random_men,0.290322581,0.333333333,0.258064516,0.433333333,0.548387097,0.37254902
random_9,0.322580645,0.2,0.225806452,0.433333333,0.516129032,0.339869281
all_men,0.294117647,0.297468354,0.256198347,0.318777293,0.547727273,0.394160584
women,0.193548387,0.333333333,0.258064516,0.333333333,0.451612903,0.31372549
random_av,0.280645161,0.26,0.25483871,0.326666667,0.561290323,0.337254902
diff_random,0.087096774,-0.073333333,-0.003225806,-0.006666667,0.109677419,0.023529412
diff_all,0.10056926,-0.035864979,-0.001866169,-0.014556041,0.09611437,0.080435094
diff_randomd_women,0.45,-0.22,-0.0125,-0.02,0.242857143,0.075
diff_alld_women,0.519607843,-0.107594937,-0.007231405,-0.043668122,0.212824675,0.256386861
prob_w,0.239999999851,0.49999999925,0.347826086722,0.49999999925,0.823529411014,0.457142856727
prob_am,0.416666666549,0.423423422551,0.34444444425,0.467948718861,1.21105527772,0.650602409798
prob_rm,0.390134528587,0.351351351351,0.341991342572,0.485148515587,1.27941176688,0.508875739734
odds_rm,1.62556053679,0.702702703757,0.983225110558,0.970297032629,1.55357143263,1.11316568168
odds_am,1.7361111117,0.846846846373,0.990277777887,0.935897439127,1.47056712428,1.42319277273
per_more_likely_rm,62.5560536787,-29.7297296243,-1.67748894421,-2.97029673711,55.3571432634,11.3165681682
per_more_likely_am,73.6111111696,-15.3153153627,-0.972222211318,-6.41025608732,47.0567124281,42.3192772728
